file_name,row_label,label,native_value
Alex_ES.xlsx,pt,populations,85.93077427454894
Alex_ES.xlsx,fc,fertility (calculated),1.0
Alex_ES.xlsx,dt,deaths,1.033055316087904
Alex_ES.xlsx,mt,migrations,0.233355219021191
Alex_ES.xlsx,et,emigrations,0.24951247533951676
Alex_ES.xlsx,l,life expectancy,84.0
Alex_FR.xlsx,pt,populations,78.2076307421692
Alex_FR.xlsx,f,fertility (official),1.0
Alex_FR.xlsx,fc,fertility (calculated),1.0
Alex_FR.xlsx,dt,deaths,0.9869694331217952
Alex_FR.xlsx,mt,migrations,0.2581116380706848
Alex_FR.xlsx,et,emigrations,0.37394184886175835
Alex_FR.xlsx,l,life expectancy,83.0
Alex_FR_befuellt_v3_IFR.xlsx,pt,populations,75.26422673847638
Alex_FR_befuellt_v3_IFR.xlsx,bt,births,18284.290904599915
Alex_FR_befuellt_v3_IFR.xlsx,f,fertility (official),1.0
Alex_FR_befuellt_v3_IFR.xlsx,fc,fertility (calculated),1.0
Alex_FR_befuellt_v3_IFR.xlsx,dt,deaths,1.0218973061797734
Alex_FR_befuellt_v3_IFR.xlsx,mt,migrations,0.16434895199068233
Alex_FR_befuellt_v3_IFR.xlsx,et,emigrations,0.10776376502279716
Alex_FR_befuellt_v3_IFR.xlsx,l,life expectancy,83.0
Alex_FR_Final.xlsx,pt,populations,80.09003922931052
Alex_FR_Final.xlsx,f,fertility (official),1.0
Alex_FR_Final.xlsx,fc,fertility (calculated),29.0
Alex_FR_Final.xlsx,dt,deaths,0.004274585645344949
Alex_FR_Final.xlsx,mt,migrations,0.23899904205903086
Alex_FR_Final.xlsx,et,emigrations,0.3546170947277098
Alex_FR_Final.xlsx,l,life expectancy,83.0
Alex_FR_Neu.xlsx,pt,populations,80.09003922931052
Alex_FR_Neu.xlsx,f,fertility (official),1.0
Alex_FR_Neu.xlsx,fc,fertility (calculated),29.0
Alex_FR_Neu.xlsx,dt,deaths,0.004274585645344949
Alex_FR_Neu.xlsx,mt,migrations,0.23899904205903086
Alex_FR_Neu.xlsx,et,emigrations,0.3546170947277098
Alex_FR_Neu.xlsx,l,life expectancy,83.0
Alex_GB.xlsx,pt,populations,81.9999975247167
Alex_GB.xlsx,bt,births,19641.060493885216
Alex_GB.xlsx,fc,fertility (calculated),1.0
Alex_GB.xlsx,dt,deaths,0.8217593273069965
Alex_GB.xlsx,mt,migrations,0.13701634109980398
Alex_GB.xlsx,et,emigrations,0.23547484364287508
Alex_GB.xlsx,l,life expectancy,81.0
Alex_GB_gecheckt.xlsx,pt,populations,81.9999975247167
Alex_GB_gecheckt.xlsx,bt,births,13528.721267595713
Alex_GB_gecheckt.xlsx,f,fertility (official),1.0
Alex_GB_gecheckt.xlsx,fc,fertility (calculated),1.0
Alex_GB_gecheckt.xlsx,dt,deaths,0.8217593273069965
Alex_GB_gecheckt.xlsx,l,life expectancy,81.0
Alex_IE.xlsx,pt,populations,100.0
Alex_IE.xlsx,bt,births,14520.009334265793
Alex_IE.xlsx,fc,fertility (calculated),1.0
Alex_IE.xlsx,dt,deaths,0.4602089873845104
Alex_IE.xlsx,mt,migrations,0.5582010208831667
Alex_IE.xlsx,et,emigrations,0.7051066325163178
Alex_IE.xlsx,l,life expectancy,83.0
Alex_IE_gecheckt.xlsx,pt,populations,83.72295349344623
Alex_IE_gecheckt.xlsx,bt,births,17279.22869054205
Alex_IE_gecheckt.xlsx,f,fertility (official),1.0
Alex_IE_gecheckt.xlsx,dt,deaths,0.5496807842792302
Alex_IE_gecheckt.xlsx,mt,migrations,0.6667239957401435
Alex_IE_gecheckt.xlsx,et,emigrations,0.8421903469656181
Alex_IE_gecheckt.xlsx,l,life expectancy,83.0
Alex_IT.xlsx,pt,populations,91.81990321259883
Alex_IT.xlsx,bt,births,12635.22962138926
Alex_IT.xlsx,f,fertility (official),1.0
Alex_IT.xlsx,fc,fertility (calculated),1.0
Alex_IT.xlsx,dt,deaths,1.1918269298435864
Alex_IT.xlsx,mt,migrations,0.09328277534655459
Alex_IT.xlsx,et,emigrations,0.193292559778726
Alex_IT.xlsx,l,life expectancy,83.0
Alex_PT.xlsx,pt,populations,85.6395031087102
Alex_PT.xlsx,bt,births,11495.590730933503
Alex_PT.xlsx,fc,fertility (calculated),1.0
Alex_PT.xlsx,dt,deaths,1.1108813076435264
Alex_PT.xlsx,mt,migrations,0.4297880041286414
Alex_PT.xlsx,et,emigrations,0.2568017541729063
Alex_PT.xlsx,l,life expectancy,82.0
Matthias_AT.xlsx,pt,populations,74.78269414494336
Matthias_AT.xlsx,bt,births,13950.366295257014
Matthias_AT.xlsx,fc,fertility (calculated),1.0
Matthias_AT.xlsx,dt,deaths,0.9410789060264324
Matthias_AT.xlsx,mt,migrations,0.14038217825251564
Matthias_AT.xlsx,et,emigrations,0.21275601679622028
Matthias_AT.xlsx,l,life expectancy,82.0
Matthias_AT_befuellt_v2_IFR.xlsx,pt,populations,71.77713509516416
Matthias_AT_befuellt_v2_IFR.xlsx,bt,births,14885.541365292143
Matthias_AT_befuellt_v2_IFR.xlsx,f,fertility (official),1.0
Matthias_AT_befuellt_v2_IFR.xlsx,fc,fertility (calculated),1.0
Matthias_AT_befuellt_v2_IFR.xlsx,dt,deaths,1.1066733964543793
Matthias_AT_befuellt_v2_IFR.xlsx,mt,migrations,0.11677656094921515
Matthias_AT_befuellt_v2_IFR.xlsx,et,emigrations,0.21802633827241583
Matthias_AT_befuellt_v2_IFR.xlsx,l,life expectancy,82.0
Matthias_CH.xlsx,pt,populations,72.60103795933037
Matthias_CH.xlsx,bt,births,81214.91527513062
Matthias_CH.xlsx,fc,fertility (calculated),1.0
Matthias_CH.xlsx,dt,deaths,0.9701054961383418
